REQ_1, Initialize with no requirement file, TC_1
REQ_2, Initialize with a requirement file, TC_2
REQ_3, Log listed and not listed testcases, TC_3
REQ_4, Log testcase as PASS and FAIL, TC_4, TC_4_FAIL
REQ_5, UVVM status error before logging testcase, TC_5
REQ_6, UVVM status error after logging testcase, TC_6
REQ_7, Open an non-existing requirement file, TC_7
REQ_88, Non-matching requirement name, TC_8
REQ_9, LIST_SINGLE_TICKOFF with 5 tick_of_req_cov() calls, TC_9
REQ_10, LIST_SINGLE_TICKOFF with PASS and FAIL, TC_10
